Adinath Exim Resources Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER,Finance - Investment,7,1,1,0,67
ADINATH TEXTILES Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02,Textiles & Apparel,6,0,1,0,67
Adishakti Loha & Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/ironsteel/adishaktilohaispat/ALI05,Iron & Steel,9,1,0,0,80
Aditri Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/aditriindustries/AC02,Textiles & Apparel,0,3,1,0,17
Aditya Birla Fashion & Retail Ltd.,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,Retailing,7,5,2,0,56
Aditya Consumer Marketing Ltd.,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01,Food & Drug Retailing,10,0,1,0,91
Aditya Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06,Iron & Steel,4,6,0,0,38
Aditya Spinners Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01,Textiles & Apparel,5,6,1,0,63
Aditya Vision Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV,Speciality Retailers,9,1,2,0,75
Adjia Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24,Software,7,2,1,0,60
Adline Chem Lab Ltd.,https://www.moneycontrol.com/india/stockpricequote/adlinechemlab/adlinechemlab/KL,Pharmaceuticals & Drugs,3,3,2,0,36
Ador Fontech Ltd.,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22,Electrodes & Welding Equipment,5,1,0,0,63
Ador Multiproducts Ltd.,https://www.moneycontrol.com/india/stockpricequote/personalcare/adormultiproducts/AM01,Household & Personal Products,3,8,1,0,19
Ador Welding Ltd.,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01,Electrodes & Welding Equipment,7,3,0,0,56
Adroit Infotech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/adroitinfotech/CC22,IT Services & Consulting,9,2,2,0,73
Advait Infratech Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/advaitinfratechlimited/AIL05,Construction - Infrastructure,3,1,0,0,82
Advance Lifestyles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM,Textiles & Apparel,3,1,2,0,38
Advance Metering Technology Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT,Engineering - Industrial Equipments,9,4,2,0,53
Advance Petrochemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02,Detergents,6,7,0,0,56
Advance Syntex  Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08,Textiles,1,9,1,0,25
Advanced Enzyme Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,Pharmaceuticals & Drugs,6,6,0,0,63
Advani Hotels and Resorts (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR,"Hotel, Resort & Restaurants",10,3,1,0,69
Advent Computer Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adventcomputerservices/ACS01,Software,8,4,3,0,47
Advik Capital  Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04,Electric Equipment,9,2,4,0,56
Advik Laboratories Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07,Pharmaceuticals & Drugs,2,4,1,0,19
Aegis Logistics Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,Logistics,7,2,1,0,69
Aeroflex Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aeroflexindustries/AI87,Miscellaneous,3,2,0,0,90
Aerpace Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aerpaceind/aerpaceindustries/ICV01,Iron & Steel,3,1,2,1,33
Aether Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84,Speciality Chemicals,3,2,0,0,69
Affle India Ltd.,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82,IT Services & Consulting,7,1,3,0,81
